isbn_10	title	hb_publish_date	author	publisher	isbn_13	pages	review_url	review_stars
1399731173	The Buried City: Unearthing the Real Pompeii	22/05/2025	Gabriel Zuchtriegel	Hodder Press	9781399731171	256		
180096188X	How to Kill a Witch: A Guide for the Patriarchy	15/05/2025	Claire Mitchell, Claire Mitchell & Zoe Venditozzi	Monoray	9781800961883	304		
1405953608	Thomas More: A Life	29/05/2025	Joanne Paul	Michael Joseph	9781405953603	624		
1838957294	Peak Human: What We Can Learn from History's Greatest Civilizations	01/05/2025	Johan Norberg	Atlantic Books (UK)	9781838957292	512		
1800815875	No Ordinary Deaths: A People's History of Mortality	01/05/2025	Molly Conisbee	Wellcome Collection	9781800815872	368		
0300256582	Horace: Poet on a Volcano	13/05/2025	Peter Stothard	Yale University Press	9780300256581	328		
1529034167	Strangers and Intimates: The Rise and Fall of Private Life	15/05/2025	Tiffany Jenkins	Picador UK	9781529034165	464		
1036103986	Prehistoric London: The Capital Before the Romans	30/05/2025	Simon Webb	Pen and Sword History	9781036103989	240		
1035903423	Ring of Fire: A New Global History of the Outbreak of the First World War	22/05/2025	Alexandra Churchill, Nicolai Eberholst	Apollo	9781035903429	448		
1398513881	The British Imagination: A History of Ideas from Elizabeth I to Elizabeth II	22/05/2025	Peter Watson	Simon & Schuster	9781398513884	544		
1398719897	When We Ruled: The Rise and Fall of Twelve African Queens and Warriors	08/05/2025	Paula Akpan	Trapeze	9781398719897	416		
0674272609	The Lost Orchid: A Story of Victorian Plunder and Obsession	06/05/2025	Sarah Bilston	Harvard University Press	9780674272606	400		
0861549600	Conquering the North: China, Russia, Mongolia: 2,000 Years of Conflict	01/05/2025	John Man	Oneworld Publications	9780861549603	384		
0393292592	Tequila Wars: José Cuervo and the Bloody Struggle for the Spirit of Mexico	06/05/2025	Ted Genoways	W. W. Norton	9780393292596	368		
0197671764	The Wars of the Lord: The Puritan Conquest of America's First People	24/04/2025	Matthew Tuininga	Oxford University Press	9780197671764	465		
0008626529	Proto: How One Ancient Language Went Global	24/04/2025	Laura Spinney	William Collins	9780008626525	352		
1847927475	We Were There: The Untold Black British Stories That Shaped Our Country	17/04/2025	Lanre Bakare	Jonathan Cape	9781847927477	384		
1529932483	Mythica: The Untold History of the Real Women Behind Homer's Myths	17/04/2025	Emily Hauser	Doubleday UK	9781529932485	496		
1911709909	America, América: A New History of the New World	24/04/2025	Greg Grandin	Torva	9781911709909	768		
050002863X	The Indo-Europeans Rediscovered: How a Scientific Revolution Is Rewriting Their Story	24/04/2025	J. P. Mallory	Thames & Hudson	9780500028636	448		
1839763159	The Fiery Spirits: Popular protest, Parliament and the English Revolution	22/04/2025	John Rees	Verso Books	9781839763151	561		
1408863510	The Sun Rising: James I and the Dawn of a Global Britain	24/04/2025	Anna Whitelock	Bloomsbury Publishing	9781408863510	449		
1324052031	The Last Dynasty: Ancient Egypt from Alexander the Great to Cleopatra	08/04/2025	Toby Wilkinson	W.W. Norton	9781324052036	384		
1836390211	The First Russian Revolution: The Decembrist Revolt Of 1825	01/04/2025	Susanna Rabow-Edling	Reaktion Books	9781836390213	320		
1847927424	The Golden Throne: The Rule of Suleyman the Magnificent	06/03/2025	Christopher de Bellaigue	Jonathan Cape	9781847927422	272		
0241347475	What Is Free Speech?: The History of a Dangerous Idea	27/03/2025	Faramerz Dabhoiwala	Allen Lane	9780241347478	480		
1472146875	Rot: A History of the Irish Famine	13/03/2025	Padraic X. Scanlan	Robinson Press	9781472146878	352		
0691222517	The Celts: A Modern History	04/03/2025	Ian Stewart	Princeton University Press	9780691222516	576		
139960399X	The Rebel Empresses: Elisabeth of Austria and Eugénie of France, Power and Glamour in the Struggle for Europe	20/03/2025	Nancy Goldstone	Weidenfeld & Nicolson	9781399603997	640		
1526175371	Between the Salt and the Ash: A Journey Into the Soul of Northumbria	18/03/2025	Jake Morris-Campbell	Manchester University Press	9781526175373	312		
